trial,choice,rt,valueLeft,valueRight,fixItem,fixTime
155,1,5180,3,2,0,100
155,1,5180,3,2,2,290
156,-1,300,3,6,0,240
156,-1,300,3,6,1,60
157,1,1890,3,5,0,200
157,1,1890,3,5,1,310
157,1,1890,3,5,0,70
157,1,1890,3,5,2,680
157,1,1890,3,5,0,80
157,1,1890,3,5,1,340
157,1,1890,3,5,0,50
157,1,1890,3,5,2,160
158,-1,570,3,1,0,280
158,-1,570,3,1,1,290
159,-1,1440,3,1,0,210
159,-1,1440,3,1,1,360
159,-1,1440,3,1,0,70
159,-1,1440,3,1,2,550
159,-1,1440,3,1,0,80
159,-1,1440,3,1,1,170
160,1,1080,3,6,0,210
160,1,1080,3,6,1,590
160,1,1080,3,6,0,70
160,1,1080,3,6,2,210
161,1,1350,3,4,0,300
161,1,1350,3,4,2,330
161,1,1350,3,4,0,70
161,1,1350,3,4,1,380
161,1,1350,3,4,0,80
161,1,1350,3,4,2,190
162,1,2290,3,5,0,400
162,1,2290,3,5,1,200
162,1,2290,3,5,0,70
162,1,2290,3,5,2,350
162,1,2290,3,5,0,80
162,1,2290,3,5,1,450
162,1,2290,3,5,0,50
162,1,2290,3,5,2,690
163,1,1580,3,3,0,210
163,1,1580,3,3,2,1370
164,-1,1040,3,3,0,260
164,-1,1040,3,3,2,230
164,-1,1040,3,3,0,70
164,-1,1040,3,3,1,480
165,1,4360,3,3,0,210
165,1,4360,3,3,2,250
165,1,4360,3,3,0,70
165,1,4360,3,3,1,1050
165,1,4360,3,3,0,80
165,1,4360,3,3,2,330
165,1,4360,3,3,0,50
165,1,4360,3,3,1,1230
165,1,4360,3,3,0,70
165,1,4360,3,3,2,350
165,1,4360,3,3,0,80
165,1,4360,3,3,1,360
165,1,4360,3,3,0,100
165,1,4360,3,3,2,130
166,-1,6410,3,3,0,210
166,-1,6410,3,3,1,210
166,-1,6410,3,3,0,70
166,-1,6410,3,3,2,430
166,-1,6410,3,3,0,80
166,-1,6410,3,3,1,760
166,-1,6410,3,3,0,50
166,-1,6410,3,3,2,430
166,-1,6410,3,3,0,70
