parcode,trial,fixItem,fixTime,encF,compE
0,647,1,202,0,0
0,647,2,528,0,0
0,647,1,670,0,0
0,649,1,330,0,0
0,649,2,414,0,0
0,649,1,288,0,0
0,650,1,196,0,0
0,650,2,356,0,0
0,650,1,206,0,0
0,651,1,208,0,0
0,651,2,404,0,0
0,651,1,868,0,0
0,652,1,470,0,0
0,652,2,352,0,0
0,652,1,140,0,0
0,653,1,266,0,0
0,653,2,544,0,0
0,653,1,692,0,0
0,655,1,206,0,0
0,655,2,470,0,0
0,655,1,606,0,0
0,656,1,296,0,0
0,656,2,388,0,0
0,656,1,552,0,0
0,658,1,220,0,0
0,658,2,438,0,0
0,660,1,204,0,0
0,660,2,458,0,0
0,661,1,208,0,0
0,661,2,364,0,0
0,661,1,212,0,0
0,662,1,232,0,0
0,662,2,310,0,0
0,662,1,80,0,0
0,663,1,196,0,0
0,663,2,358,0,0
0,666,1,178,0,0
0,666,2,574,0,0
0,667,1,268,0,0
0,667,2,310,0,0
0,669,1,226,0,0
0,669,2,308,0,0
0,672,1,342,0,0
0,672,2,338,0,0
0,672,1,198,0,0
0,673,1,384,0,0
0,673,2,280,0,0
0,674,1,248,0,0
0,674,2,822,0,0
0,675,1,214,0,0
0,675,2,492,0,0
0,678,1,230,0,0
0,678,2,582,0,0
0,679,1,286,0,0
0,679,2,282,0,0
0,679,1,184,0,0
0,680,1,192,0,0
0,680,2,370,0,0
0,682,1,222,0,0
0,682,2,492,0,0
0,684,1,190,0,0
0,684,2,468,0,0
0,684,1,674,0,0
0,684,2,396,0,0
0,685,1,236,0,0
0,685,2,512,0,0
0,686,1,116,0,0
0,686,2,400,0,0
0,687,2,384,0,0
0,687,1,530,0,0
0,688,1,224,0,0
0,688,2,310,0,0
0,689,1,246,0,0
0,689,2,628,0,0
0,689,1,402,0,0
0,690,1,214,0,0
0,690,2,476,0,0
0,690,1,122,0,0
0,692,1,298,0,0
0,692,2,358,0,0
0,692,1,78,0,0
0,693,1,204,0,0
0,693,2,432,0,0
0,694,1,204,0,0
0,694,2,442,0,0
0,695,1,472,0,0
0,695,2,358,0,0
0,696,1,260,0,0
0,696,2,374,0,0
0,696,1,38,0,0
0,699,1,242,0,0
0,699,2,332,0,0
0,701,1,212,0,0
0,701,2,426,0,0
0,703,1,274,0,0
0,703,2,320,0,0
0,706,1,174,0,0
0,706,2,362,0,0
0,706,1,670,0,0
0,706,2,628,0,0
0,706,1,118,0,0
0,707,1,198,0,0
0,707,2,320,0,0
